,"en","zh-CN","zh-TW","ja"
TITLE,"Dou Card Puzzoom","斗牌谜室","鬥牌謎室","ドー・カード・パズルーム"
R_ORI,"Rule - Original","规则 - 原版","規則 - 原版","ルール - オリジナル"
R_ORI_C,"1. The party that runs out of cards first wins... probably? \n2. I heard that the person who designed the rules only has one deck of cards, but we have several decks! \n3. Suit? What's the suit? \n4. [Error 1024] ""AAA222"" is invalid to play!\n5. What? Don't you know the rules? Ever heard of Google?","1. 先出完牌的一方获得胜利…… 大概？\n2. 听说设计规则的人只有一副牌， 但我们有好几副欸！\n3. 花色？ 花色是什么？\n4. [Error 1024] ""AAA222"" is invalid to play!\n5. 什么？ 你不清楚规则？ 听说过百度吗？","1. 先出完牌的一方獲得勝利……大概？ \n2. 聽說設計規則的人只有一副牌，但我們有好幾副欸！ \n3. 花色？ 花色是什麼？ \n4. [Error 1024] ""AAA222"" is invalid to play!\n5. 什麼？ 你不清楚規則？ 聽過谷歌嗎？","1. 先に手札がなくなったほうが勝ち… たぶん？ \n2. ルールを設計した人はトランプを 1 つのデッキしか持っていないそうですが、私たちは複数のデッキを持っています。 \n3. スーツ？スーツは何ですか？ \n4. [Error 1024] ""AAA222"" is invalid to play!\n5. 何ですか？ ルールも知らないの？ Googleについて聞いたことがありますか？"
R_TWODECK,"Rule - Two Deck","规则 - 两副","規則 - 兩副","ルール - トランプ 2 組"
R_TWODECK_C,"1. This time the rule designer has two decks of cards! \n2. Big bombs can hit small bombs, bang! \n3. Are lonely cards destined to be unsociable?\n4. The clown is still unique.","1. 这次规则设计者有两副牌了！\n2. 大炸弹可以打小炸弹， 砰！\n3. 孤独的牌注定不合群吗？\n4. 小丑依旧特立独行。","1. 這次規則設計者有兩副牌了！\n2. 大炸彈可以打小炸彈， 砰！ \n3. 孤獨的牌注定不合群嗎？\n4. 小丑依舊特立獨行。","1. 今回、ルール設計者は 2 組のカードを用意しました。\n2. 大きな爆弾は小さな爆弾に当たる可能性があります、バン! \n3. 孤独なカードは社交的ではない運命にあるのでしょうか?\n4. ピエロはやはりユニークです。"
R_SAME,"Rule - Same","规则 - 同牌","規則 - 同牌","ルール - 同じカード"
R_SAME_C,"1. This is only fair! You can beat the opponent with the same cards! \n2. What then? There is none left?","1. 这才公平！ 一样的牌也可以打过对方！\n2. 然后呢？ 没了？","1. 這才公平！ 一樣的牌也可以打過對方！ \n2. 然後呢？ 沒了？","1. これはまさに公平です！ 同じカードでも相手に勝てます！ \n2.それではどうでしょうか？ 何も残っていないのですか？"
R_SUIT,"Rule - Suit","规则 - 对花","規則 - 對花","ルール - スーツ"
R_SUIT_C,"1. Haha, the suit is not important... huh? \n2. Why can't I play a suit that the opponent doesn't have!\n3. Clowns always wear costumes... don't they have suits?","1. 哈哈，花色不重要……嗯？\n2. 凭什么我不能打对方没有的花色！\n3. 小丑们总是穿着戏服…… 他们没有西装吗？","1. 哈哈，花色不重要……嗯？ \n2. 憑什麼我不能打對方沒有的花色！\n3. 小丑總是穿著戲服… 他們沒有西裝嗎？","1. はは、スーツは重要じゃない…ん？ \n2. 相手が持っていないスーツをプレイできないのはなぜですか!\n3. ピエロはいつも衣装を着ています...スーツを持っていませんか?"
R_MA,"Rule - Mahjong","规则 - 麻将","規則 - 麻將","ルール - 麻雀"
